...1,created_on,expenses,floor,lat,lon,place_name,place_with_parent_names,price,price_aprox_local_currency,price_aprox_usd,price_per_m2,price_usd_per_m2,property_type,rooms,state_name,surface_covered_in_m2,surface_in_m2,surface_total_in_m2,title
31898,2015-03-30,NA,NA,-34.5064456,-58.5618936,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,167000,1620016.9,167000,759.090909091,523.510971787,house,NA,NA,220,NA,319,"Casa 319m² con Teléfono en GODOY CRUZ 1700, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 167.000"
31907,2015-03-30,NA,NA,-34.5451254,-58.700239,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,420000,4074294,420000,1615.38461538,738.137082601,house,NA,NA,260,NA,569,"Casa 569m² con Teléfono en SERRANO 800, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 420.000"
31940,2015-03-30,NA,NA,-34.4824865,-58.55805,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,315000,3055720.5,315000,1225.68093385,1478.87323944,house,NA,NA,257,NA,213,"Casa 213m² con Dependencias en TOMKINSON, Intendente 3300, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 315.000"
31947,2015-03-30,NA,NA,-34.4593345,-58.5119522,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,285000,2764699.5,285000,1461.53846154,1212.76595745,house,NA,NA,195,NA,235,"Casa 235m² con Cochera en CASEROS 1400, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 285.000"
31958,2015-03-30,NA,NA,NA,NA,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,235000,2279664.5,235000,1119.04761905,256.27044711,house,NA,NA,210,NA,917,"Casa 917m² con Cochera en 0, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 235.000"
31959,2015-03-30,NA,NA,-34.472474,-58.5534544,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,198000,1920738.6,198000,1320,668.918918919,house,NA,NA,150,NA,296,"Casa 296m² con Teléfono en NAVARRO, Julián 2700, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 198.000"
31961,2015-03-30,NA,NA,NA,NA,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,235000,2279664.5,235000,2008.54700855,1666.66666667,apartment,NA,NA,117,NA,141,"Departamento 141m² con Teléfono en 0, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 235.000"
31970,2015-03-30,NA,NA,-34.4912766,-58.5778503,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,159000,1542411.3,159000,1223.07692308,1060,house,NA,NA,130,NA,150,"Casa 150m² con Teléfono en RUEDA, Maestra J. 1900, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 159.000"
31972,2015-03-30,NA,NA,-34.4431889,-58.8987918,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,1500000,14551050,1500000,3333.33333333,714.285714286,house,NA,NA,450,NA,2100,"Casa 2100m² con Plantas en ANCHORENA, Dr. Tomas 400, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 1.500.000"
31975,2015-03-30,NA,2,NA,NA,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,250000,2425175,250000,2450.98039216,1562.5,apartment,NA,NA,102,NA,160,"Departamento 160m² con 2 Plantas en 0, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 250.000"
